Resturaunts,Times,Menu,Calories: Macro Data
Rohr Commons – Tepper Eatery ,"Friday: 11:00 AM - 8:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 11:00 AM - 8:00 PM
Tuesday: 11:00 AM - 8:00 PM
Wednesday: 11:00 AM - 8:00 PM
Thursday: 11:00 AM - 8:00 PM",,
,,,
Salem’s Hot Bar ,"Friday: 10:30 AM - 1:00 PM, 2:00 PM - 10:00 PM
Saturday: 10:30 AM - 10:00 PM
Sunday: 10:30 AM - 10:00 PM
Monday: 10:30 AM - 10:00 PM
Tuesday: 10:30 AM - 10:00 PM
Wednesday: 10:30 AM - 10:00 PM
Thursday: 10:30 AM - 10:00 PM",,
,,,
Schatz Dining Room ,"Friday: 7:30 AM - 10:00 AM, 11:00 AM - 2:00 PM, 4:30 PM - 8:30 PM
Saturday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM
Sunday: 10:30 AM - 2:30 PM, 4:30 PM - 8:30 PM
Monday: 7:30 AM - 10:00 AM, 11:00 AM - 2:00 PM, 4:30 PM - 8:30 PM
Tuesday: 7:30 AM - 10:00 AM, 11:00 AM - 2:00 PM, 4:30 PM - 8:30 PM
Wednesday: 7:30 AM - 10:00 AM, 11:00 AM - 2:00 PM, 4:30 PM - 8:30 PM
Thursday: 7:30 AM - 10:00 AM, 11:00 AM - 2:00 PM, 4:30 PM - 8:30 PM",https://dineoncampus.com/cmu/whats-on-the-menu,
,,,
The Grill at Scotty’s ,"Friday: 8:00 AM - 1:00 PM, 2:00 PM - 11:45 PM
Saturday: 8:00 AM - 11:45 PM
Sunday: 8:00 AM - 11:45 PM
Monday: 8:00 AM - 11:45 PM
Tuesday: 8:00 AM - 11:45 PM
Wednesday: 8:00 AM - 11:45 PM
Thursday: 8:00 AM - 11:45 PM",,
,,,
Scotty’s Market by Salem’s ,"Friday: 8:00 AM - 1:00 PM, 2:00 PM - 11:59 PM
Saturday: 8:00 AM - 11:59 PM
Sunday: 8:00 AM - 11:59 PM
Monday: 8:00 AM - 12:00 PM
Tuesday: 8:00 AM - 11:59 PM
Wednesday: 8:00 AM - 11:59 PM
Thursday: 8:00 AM - 11:59 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/180/salems-menu-fall23-v1.pdf,
,,,
Shake Smart ,"Friday: 10:30 AM - 8:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 10:30 AM - 8:00 PM
Tuesday: 10:30 AM - 8:00 PM
Wednesday: 10:30 AM - 8:00 PM
Thursday: 10:30 AM - 8:00 PM",https://shakesmart.com/nutrition-facts/,
,,,
